Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:06,866 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-transport/4.1.29.Final
2018-10-10T17:05:06,870 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2018-10-10T17:05:06,871 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.2.0
2018-10-10T17:05:06,873 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.9.0
2018-10-10T17:05:06,877 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.2
2018-10-10T17:05:06,879 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.2.1
2018-10-10T17:05:06,880 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.1
2018-10-10T17:05:06,882 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.1
2018-10-10T17:05:06,885 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.1
2018-10-10T17:05:06,887 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.2.1
2018-10-10T17:05:06,890 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.1
2018-10-10T17:05:06,892 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.1
2018-10-10T17:05:06,894 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.1
2018-10-10T17:05:06,899 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.1
2018-10-10T17:05:06,901 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.1
2018-10-10T17:05:06,903 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.1
2018-10-10T17:05:06,907 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.1
